,ProbeID,logFC,AveExpr,t,P.Value,adj.P.Val,B,SYMBOL,diffexpressed
591,218935_at,-1.256861329,5.814468059,-6.777948321,1.36E-10,9.10E-09,13.71838089,EHD3,DOWN
592,244172_at,-1.406722325,5.196532738,-6.777826445,1.36E-10,9.10E-09,13.71771882,NA,DOWN
593,205463_s_at,1.974714406,6.767519371,6.776574541,1.37E-10,9.15E-09,13.71091846,PDGFA,UP
594,204326_x_at,-2.892338305,10.27166714,-6.772873739,1.40E-10,9.33E-09,13.69082022,MT1X,DOWN
595,210106_at,-1.524987074,7.591651717,-6.76724274,1.45E-10,9.62E-09,13.66025251,RDH5,DOWN
596,210106_at,-1.524987074,7.591651717,-6.76724274,1.45E-10,9.62E-09,13.66025251,BLOC1S1-RDH5,DOWN
597,1556499_s_at,3.051534508,9.688149524,6.754147258,1.56E-10,1.03E-08,13.5892249,COL1A1,UP
598,213869_x_at,1.355039315,7.26757798,6.752377143,1.57E-10,1.04E-08,13.57963064,THY1,UP
599,218024_at,-1.233629883,10.57754252,-6.752013487,1.57E-10,1.04E-08,13.57765977,MPC1,DOWN
600,202321_at,1.346036909,6.528103933,6.745910079,1.63E-10,1.07E-08,13.54459153,GGPS1,UP
601,218662_s_at,2.1347312,5.989838896,6.745946916,1.63E-10,1.07E-08,13.54479106,NCAPG,UP
602,212256_at,1.189151428,5.797176178,6.745152126,1.64E-10,1.07E-08,13.54048624,GALNT10,UP
603,225399_at,1.24987684,7.215091713,6.745075195,1.64E-10,1.07E-08,13.54006958,TSEN15,UP
604,201875_s_at,1.138760977,7.394335383,6.744316724,1.64E-10,1.08E-08,13.53596179,MPZL1,UP
605,219675_s_at,1.131644875,7.914181754,6.74147109,1.67E-10,1.09E-08,13.52055275,UXS1,UP
606,211456_x_at,-2.289821023,11.55387991,-6.736759301,1.72E-10,1.12E-08,13.49504741,MT1HL1,DOWN
607,203666_at,-1.937121864,7.514939271,-6.730311753,1.78E-10,1.15E-08,13.46016419,CXCL12,DOWN
608,219376_at,1.014633513,5.97216502,6.727368587,1.81E-10,1.17E-08,13.44424766,ZNF322,UP
609,203214_x_at,2.193256199,6.435312822,6.719625711,1.89E-10,1.21E-08,13.40239515,CDK1,UP
610,55065_at,1.119294645,8.585930575,6.719595068,1.89E-10,1.21E-08,13.40222958,MARK4,UP
611,232017_at,-2.028587928,7.139685075,-6.717477218,1.91E-10,1.22E-08,13.39078724,TJP2,DOWN
612,228401_at,1.882938559,7.253182393,6.71685273,1.92E-10,1.23E-08,13.38741368,ATAD2,UP
613,224959_at,1.556106615,6.954023432,6.715842674,1.93E-10,1.23E-08,13.38195764,SLC26A2,UP
614,230200_at,-1.28404587,7.62006088,-6.714931784,1.94E-10,1.24E-08,13.37703772,NSUN6,DOWN
615,223993_s_at,1.223465651,10.24790802,6.714085376,1.95E-10,1.24E-08,13.37246644,CNIH4,UP
616,203566_s_at,-1.308018971,9.43436062,-6.711991054,1.97E-10,1.25E-08,13.36115698,AGL,DOWN
617,218910_at,1.127253692,7.49200746,6.711028818,1.98E-10,1.26E-08,13.3559616,ANO10,UP
618,218755_at,2.179238796,6.518339118,6.708838131,2.00E-10,1.27E-08,13.34413517,KIF20A,UP
619,225583_at,1.259427785,7.798363107,6.701724826,2.09E-10,1.32E-08,13.30575061,UXS1,UP
620,210942_s_at,-1.786299162,7.007574382,-6.700106763,2.10E-10,1.33E-08,13.29702282,ST3GAL6,DOWN
621,206755_at,-3.007914151,7.72408915,-6.687780247,2.25E-10,1.41E-08,13.23057716,CYP2B6,DOWN
622,222603_at,1.429629394,7.620358467,6.684980657,2.29E-10,1.43E-08,13.21549673,ERMP1,UP
623,203500_at,-1.429271055,8.325289849,-6.676217775,2.40E-10,1.49E-08,13.16831963,GCDH,DOWN
624,222666_s_at,-1.856166728,8.420710502,-6.675358416,2.42E-10,1.49E-08,13.16369515,RCL1,DOWN
625,211303_x_at,-2.324725535,6.220145157,-6.672992061,2.45E-10,1.51E-08,13.15096298,FOLH1B,DOWN
626,208369_s_at,-1.591729225,8.016094391,-6.671293624,2.47E-10,1.52E-08,13.14182629,GCDH,DOWN
627,1553993_s_at,1.062112171,7.813555261,6.65287447,2.74E-10,1.67E-08,13.04283472,MED25,UP
628,214061_at,1.423893564,5.972512794,6.650834369,2.77E-10,1.68E-08,13.03188101,TBC1D31,UP
629,242153_at,-1.318150096,6.061882945,-6.650428405,2.78E-10,1.69E-08,13.02970156,LARP1B,DOWN
630,231311_at,-2.056422986,5.538858911,-6.650117102,2.78E-10,1.69E-08,13.02803037,SPTBN2,DOWN
631,228561_at,-1.464918022,6.449101108,-6.645916884,2.85E-10,1.72E-08,13.00548675,CDC37L1,DOWN
632,202404_s_at,3.146318421,8.262146186,6.642472057,2.90E-10,1.75E-08,12.98700419,COL1A2,UP
633,215074_at,-1.086063375,3.907602289,-6.641571159,2.92E-10,1.75E-08,12.98217159,MYO1B,DOWN
634,216336_x_at,-2.535024687,9.849490451,-6.638816302,2.96E-10,1.77E-08,12.96739654,MT1E,DOWN
635,220524_at,-1.130343753,4.8799309,-6.637109821,2.99E-10,1.79E-08,12.95824616,EPB41L4B,DOWN
636,227558_at,1.261610926,10.08373241,6.630878013,3.09E-10,1.85E-08,12.92484294,CBX4,UP
637,202487_s_at,1.12029655,9.320764604,6.624702394,3.20E-10,1.90E-08,12.89176042,H2AZ2,UP
