"ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","diffexpressed"
"201714_at",1.71838212137596,8.12040592870202,9.14961649278258,7.0198125381218e-17,3.19477518453705e-14,27.7750185640483,"TUBG1","UP"
"220367_s_at",1.12510613805575,7.09502468983333,9.13451388956243,7.74458870899113e-17,3.49549771210027e-14,27.6793965541773,"SAP130","UP"
"222593_s_at",1.81166611288088,7.24884508935354,9.13067211327293,7.94052246371848e-17,3.55455535500867e-14,27.6550823418495,"SPATS2","UP"
"200788_s_at",1.44670389568853,9.74758722604545,9.1235662978299,8.31599302713348e-17,3.69236851374667e-14,27.6101210341621,"PEA15","UP"
"222433_at",2.52610791961639,9.48201834725758,9.11462103938588,8.81383057157991e-17,3.85302389270824e-14,27.5535405891396,"ENAH","UP"
"217820_s_at",2.85954085165137,7.89238241088384,9.10742250435522,9.23586731882382e-17,3.97164111718839e-14,27.5080245190341,"ENAH","UP"
"218324_s_at",1.84588673570055,6.37588426841414,9.10842079152887,9.17616190048908e-17,3.97164111718839e-14,27.5143357972528,"SPATS2","UP"
"237350_at",-3.65215925648087,7.47398487307071,-9.10071873443059,9.64692580403717e-17,4.11599655418658e-14,27.4656497076503,"TTC36","DOWN"
"206252_s_at",-1.67892989693989,4.65664573025253,-9.08708726142883,1.05396568380428e-16,4.46203316973667e-14,27.379523001362,"AVPR1A","DOWN"
"220037_s_at",-2.35571269994645,3.87633523611616,-9.08048716820723,1.10009227531191e-16,4.62148764858533e-14,27.337840682266,"LYVE1","DOWN"
"1553984_s_at",1.60147439926994,8.27104264734343,9.06958981865746,1.18068002892609e-16,4.92217392517105e-14,27.2690459851897,"DTYMK","UP"
"202503_s_at",2.9580853094776,8.64345151541414,9.05139786608501,1.32848176687644e-16,5.45506576950547e-14,27.1542746548729,"PCLAF","UP"
"223844_at",-1.14701446818689,5.67808162334848,-9.00030767894632,1.84924482150971e-16,7.53677667441117e-14,26.8324504758573,"ADAMTS13","DOWN"
"200882_s_at",1.40477655004153,10.8552172169293,8.94523216853956,2.63922047447441e-16,1.06381035507682e-13,26.4863567873596,"PSMD4","UP"
"201128_s_at",1.58678255547979,9.99536784322222,8.94464981451935,2.64915328384171e-16,1.06381035507682e-13,26.4827019586366,"ACLY","UP"
"1558693_s_at",1.86803559728088,8.70910660320202,8.90814465713872,3.35187478133637e-16,1.31694919016635e-13,26.2537942219178,"GLMP","UP"
"210077_s_at",-1.10788863337814,4.69978143976263,-8.90822992113881,3.35003482917955e-16,1.31694919016635e-13,26.2543284212375,"SRSF5","DOWN"
"224486_s_at",1.04183610505028,6.98959908366162,8.90274829387029,3.47039002086407e-16,1.35377435863893e-13,26.2199890561794,"CDIN1","UP"
"235102_x_at",-1.45738829535301,3.97702894170707,-8.89542504680816,3.63790398425204e-16,1.40905567582948e-13,26.1741267318771,"SNORD3B-1","DOWN"
"235102_x_at",-1.45738829535301,3.97702894170707,-8.89542504680816,3.63790398425204e-16,1.40905567582948e-13,26.1741267318771,"SNORD3A","DOWN"
"235102_x_at",-1.45738829535301,3.97702894170707,-8.89542504680816,3.63790398425204e-16,1.40905567582948e-13,26.1741267318771,"SNORD3B-2","DOWN"
"235102_x_at",-1.45738829535301,3.97702894170707,-8.89542504680816,3.63790398425204e-16,1.40905567582948e-13,26.1741267318771,"SNORD3C","DOWN"
"204428_s_at",-3.35935902487322,7.26432362621717,-8.88996833807086,3.76791951678642e-16,1.44913653922716e-13,26.1399639877795,"LCAT","DOWN"
"206380_s_at",-1.7938031365541,5.67903208325758,-8.88833275937064,3.80778119651701e-16,1.45422625514254e-13,26.1297258507789,"CFP","DOWN"
"211980_at",2.29050708262842,9.80606531279293,8.87575433633147,4.12865858042424e-16,1.56582243786604e-13,26.0510158159208,"COL4A1","UP"
